OAREA,DAREA,F
浦东新区,虹口区,1.761435484794052e-11
金山区,虹口区,1.5732266982929628e-12
松江区,虹口区,5.1394461365749e-12
青浦区,虹口区,4.073374756182864e-12
奉贤区,虹口区,1.8113539442241357e-12
崇明区,虹口区,2.8001799182632313e-12
玄武区,虹口区,1.0050051282818147e-13
秦淮区,虹口区,1.7795441826913812e-13
建邺区,虹口区,3.1586074907616553e-13
鼓楼区,虹口区,5.511522766822072e-14
浦口区,虹口区,1.4180343859373288e-13
栖霞区,虹口区,1.1056457364856117e-13
雨花台区,虹口区,7.174188719603629e-14
江宁区,虹口区,1.166637800474072e-13
六合区,虹口区,1.3364048663970152e-13
溧水区,虹口区,4.4818920632050753e-14
高淳区,虹口区,6.24752322422591e-14
锡山区,虹口区,6.239103997714245e-14
惠山区,虹口区,2.5112178445058434e-14
滨湖区,虹口区,3.7471978120061157e-13
梁溪区,虹口区,3.4148439145718084e-13
新吴区,虹口区,1.1396185927558173e-13
江阴市,虹口区,6.63279930637333e-14
宜兴市,虹口区,9.074663958048634e-14
天宁区,虹口区,1.2643856282703565e-13
钟楼区,虹口区,1.5880176017773274e-13
新北区,虹口区,1.1988166453437538e-13
武进区,虹口区,6.418395118347625e-14
金坛区,虹口区,3.684331212419971e-14
溧阳市,虹口区,2.079317333091804e-13
虎丘区,虹口区,1.836588363092316e-13
吴中区,虹口区,2.1416452784118633e-13
相城区,虹口区,1.1158056192393266e-13
姑苏区,虹口区,4.559540056873487e-13
吴江区,虹口区,9.952102139880847e-14
常熟市,虹口区,5.991546975091831e-14
张家港市,虹口区,7.674124122473523e-14
昆山市,虹口区,5.066885924376956e-13
太仓市,虹口区,2.874452166709696e-13
崇川区,虹口区,2.6724420595806576e-13
港闸区,虹口区,4.9306579395081267e-14
通州区,虹口区,3.20035943945265e-13
如东县,虹口区,2.280736868094167e-13
启东市,虹口区,3.794002869829331e-13
如皋市,虹口区,1.8467540628856217e-13
海门市,虹口区,3.471192423043506e-13
海安市,虹口区,2.1503353139707423e-13
广陵区,虹口区,5.778547484115393e-14
邗江区,虹口区,6.233535422404281e-14
江都区,虹口区,3.2824705767274923e-14
宝应县,虹口区,5.31923235805416e-14
仪征市,虹口区,4.423988433887858e-14
高邮市,虹口区,2.0216866646930447e-13
润州区,虹口区,1.5627682383326457e-13
丹徒区,虹口区,5.724764004527271e-14
丹阳市,虹口区,4.471725977890608e-14
扬中市,虹口区,1.0547658584620895e-13
句容市,虹口区,1.2016719763713503e-13
海陵区,虹口区,5.05010054540189e-14
高港区,虹口区,2.0739976304157418e-13
兴化市,虹口区,5.882550973364322e-14
靖江市,虹口区,1.1217308976704781e-13
泰兴市,虹口区,1.667343953291665e-13
黄浦区,杨浦区,1.3606562072218485e-11
徐汇区,杨浦区,9.738452529414113e-12
长宁区,杨浦区,9.66152731586652e-12
静安区,杨浦区,2.5748310127869116e-11
普陀区,杨浦区,1.4375280089101238e-11
虹口区,杨浦区,8.3727008330729e-11
杨浦区,杨浦区,1.672847582542157e-09
闵行区,杨浦区,7.771155839557468e-12
宝山区,杨浦区,2.290542473607727e-11
嘉定区,杨浦区,7.756998242477411e-12
浦东新区,杨浦区,1.74879030699362e-11
金山区,杨浦区,1.0811342990219196e-12
松江区,杨浦区,3.693893593503794e-12
青浦区,杨浦区,5.686961161500724e-12
奉贤区,杨浦区,1.6703863670085062e-12
崇明区,杨浦区,3.2916480599303397e-12
玄武区,杨浦区,1.1885566318151022e-13
秦淮区,杨浦区,7.892083011911504e-14
建邺区,杨浦区,7.782265182035862e-14
鼓楼区,杨浦区,1.0863554741433102e-13
浦口区,杨浦区,1.1739143296715015e-13
栖霞区,杨浦区,1.2141795500942556e-13
雨花台区,杨浦区,1.131261833480176e-13
江宁区,杨浦区,1.0347821038363047e-13
六合区,杨浦区,3.160964699676129e-14
溧水区,杨浦区,2.6502265435744714e-14
高淳区,杨浦区,3.6942772487477156e-14
锡山区,杨浦区,3.6892988027559524e-14
惠山区,杨浦区,1.9304090599813163e-13
滨湖区,杨浦区,3.179174232441521e-13
梁溪区,杨浦区,2.256821151342465e-13
新吴区,杨浦区,6.738777733778406e-14
江阴市,杨浦区,4.575781229757247e-14
宜兴市,杨浦区,1.6098055211825362e-13
天宁区,杨浦区,5.607411400309181e-14
钟楼区,杨浦区,9.39024487993605e-14
新北区,杨浦区,1.2759888389133617e-13
武进区,杨浦区,3.79531699333906e-14
金坛区,杨浦区,1.0893069530430298e-13
溧阳市,杨浦区,8.782422867971928e-14
虎丘区,杨浦区,1.8703488763007628e-13
吴中区,杨浦区,1.763907154973307e-13
相城区,杨浦区,1.1546442548775037e-13
姑苏区,杨浦区,3.6706501402694827e-13
吴江区,杨浦区,7.356080000232949e-14
常熟市,杨浦区,1.164100218486256e-13
张家港市,杨浦区,1.1344632557661548e-13
昆山市,杨浦区,5.202396093819194e-13
太仓市,杨浦区,3.116148364470582e-13
崇川区,杨浦区,2.3703974066927725e-13
港闸区,杨浦区,5.831180387341127e-14
通州区,杨浦区,3.5622256024355255e-13
如东县,杨浦区,8.429014606848832e-14
启东市,杨浦区,8.182048119196419e-13
如皋市,杨浦区,2.4960461559625795e-13
海门市,杨浦区,2.3262584172102043e-13
海安市,杨浦区,2.9063621964261967e-13
广陵区,杨浦区,1.7084815642298702e-13
邗江区,杨浦区,9.215015000246126e-14
江都区,杨浦区,1.9409862014223513e-13
宝应县,杨浦区,2.83082535883446e-13
仪征市,杨浦区,1.3079935226699344e-13
高邮市,杨浦区,1.3947046285365596e-13
京口区,杨浦区,1.656855474333384e-13
润州区,杨浦区,1.3861411012169163e-13
丹徒区,杨浦区,1.3540639807062345e-13
丹阳市,杨浦区,5.2884302946476084e-14
扬中市,杨浦区,3.1185138284581186e-13
海陵区,杨浦区,7.465547097297199e-14
高港区,杨浦区,1.8395903428476378e-13
姜堰区,杨浦区,1.313513848600259e-13
兴化市,杨浦区,2.0870774012872456e-13
靖江市,杨浦区,1.3266008899054083e-13
泰兴市,杨浦区,1.1831179707050718e-13
黄浦区,闵行区,1.0753511291551782e-11
徐汇区,闵行区,2.5692871623633898e-11
长宁区,闵行区,2.2208908142186922e-11
静安区,闵行区,8.051406010114068e-12
普陀区,闵行区,1.0357458478216331e-11
虹口区,闵行区,6.635175322801932e-12
杨浦区,闵行区,5.580173450872708e-12
闵行区,闵行区,5.967963946147729e-10
宝山区,闵行区,5.6433929205379615e-12
嘉定区,闵行区,8.782911778181683e-12
浦东新区,闵行区,8.96366509485797e-12
金山区,闵行区,3.731643613126794e-12
松江区,闵行区,2.9598193976824775e-11
青浦区,闵行区,1.701994759363005e-11
奉贤区,闵行区,1.3375765760198336e-11
崇明区,闵行区,1.971519435701793e-12
玄武区,闵行区,1.494950602410751e-13
秦淮区,闵行区,1.5598874095124157e-13
建邺区,闵行区,1.622082494764591e-13
鼓楼区,闵行区,1.5225637395377448e-13
浦口区,闵行区,1.0245335953955843e-13
栖霞区,闵行区,1.0404954227320416e-13
雨花台区,闵行区,1.7786074661654916e-13
江宁区,闵行区,1.4874686422991451e-13
六合区,闵行区,5.1117673318327864e-14
溧水区,闵行区,5.714433305245138e-14
高淳区,闵行区,1.4603639011075184e-13
锡山区,闵行区,1.5025897148466952e-13
