count,OAREA,OCITY,OPROV,DAREA,DCITY,DPROV
0.0,泰兴市,泰州市,江苏省,静安区,上海市,上海市
0.922697102527321,黄浦区,上海市,上海市,普陀区,上海市,上海市
0.8839774555359116,徐汇区,上海市,上海市,普陀区,上海市,上海市
2.0697687975566486,长宁区,上海市,上海市,普陀区,上海市,上海市
2.418916814528768,静安区,上海市,上海市,普陀区,上海市,上海市
0.7815028254226596,虹口区,上海市,上海市,普陀区,上海市,上海市
0.6459235101710289,杨浦区,上海市,上海市,普陀区,上海市,上海市
0.6630197767335467,闵行区,上海市,上海市,普陀区,上海市,上海市
2.1395333776342675,宝山区,上海市,上海市,普陀区,上海市,上海市
2.7161657598924176,嘉定区,上海市,上海市,普陀区,上海市,上海市
0.6846139806252958,浦东新区,上海市,上海市,普陀区,上海市,上海市
0.15068398936227803,金山区,上海市,上海市,普陀区,上海市,上海市
0.35907191064394484,松江区,上海市,上海市,普陀区,上海市,上海市
0.4750174144467432,青浦区,上海市,上海市,普陀区,上海市,上海市
0.17959882101906355,奉贤区,上海市,上海市,普陀区,上海市,上海市
0.39897201744404925,崇明区,上海市,上海市,普陀区,上海市,上海市
0.013378094268374238,玄武区,南京市,江苏省,普陀区,上海市,上海市
0.0,秦淮区,南京市,江苏省,普陀区,上海市,上海市
0.0,建邺区,南京市,江苏省,普陀区,上海市,上海市
0.015200873305017406,鼓楼区,南京市,江苏省,普陀区,上海市,上海市
0.0,浦口区,南京市,江苏省,普陀区,上海市,上海市
0.009811346079110514,栖霞区,南京市,江苏省,普陀区,上海市,上海市
0.013201865633936865,雨花台区,南京市,江苏省,普陀区,上海市,上海市
0.0,江宁区,南京市,江苏省,普陀区,上海市,上海市
0.0,六合区,南京市,江苏省,普陀区,上海市,上海市
0.0,溧水区,南京市,江苏省,普陀区,上海市,上海市
0.0,高淳区,南京市,江苏省,普陀区,上海市,上海市
0.012194740528698017,锡山区,无锡市,江苏省,普陀区,上海市,上海市
0.013305873452940093,惠山区,无锡市,江苏省,普陀区,上海市,上海市
0.008675229210714296,滨湖区,无锡市,江苏省,普陀区,上海市,上海市
0.0184775415882542,梁溪区,无锡市,江苏省,普陀区,上海市,上海市
0.02025303774175875,新吴区,无锡市,江苏省,普陀区,上海市,上海市
0.014875154077275507,江阴市,无锡市,江苏省,普陀区,上海市,上海市
0.013864891116373885,宜兴市,无锡市,江苏省,普陀区,上海市,上海市
0.011231233777056877,天宁区,常州市,江苏省,普陀区,上海市,上海市
0.01024523135418882,钟楼区,常州市,江苏省,普陀区,上海市,上海市
0.011047196725123153,新北区,常州市,江苏省,普陀区,上海市,上海市
0.0,武进区,常州市,江苏省,普陀区,上海市,上海市
0.0,金坛区,常州市,江苏省,普陀区,上海市,上海市
0.013090788902482919,溧阳市,常州市,江苏省,普陀区,上海市,上海市
0.013169862172705063,虎丘区,苏州市,江苏省,普陀区,上海市,上海市
0.011027150840434118,吴中区,苏州市,江苏省,普陀区,上海市,上海市
0.012489263390263313,相城区,苏州市,江苏省,普陀区,上海市,上海市
